age_group,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,dale_chall,smog_index,avg_sentence_length,vocab_richness,avg_word_length,long_word_ratio,num_sentences,num_words,content_word_ratio,violence_score,profanity_score,adult_score,drug_score,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,dialogue_ratio,exclamation_ratio,question_ratio
+10,71.73940559440561,7.03686868686869,8.314529914529913,9.974269386169386,8.841846274778883,16.714285714285715,0.7165775401069518,4.497326203208556,0.1657754010695187,14.0,187.0,0.6096256684491979,0.0,0.0,0.0,0.0,0.15,0.047,0.803,0.9719,0.005385996409335727,0.38461538461538464,0.07692307692307693
+4,65.88115384615385,7.510000000000002,8.871794871794874,6.7794914529914525,11.051253699011982,15.76923076923077,0.45555555555555555,4.527777777777778,0.24444444444444444,13.0,180.0,0.5055555555555555,0.0,0.0,0.0,0.0,0.287,0.048,0.665,0.9955,0.0,0.0,0.0
+10,45.65321181356714,11.340738347946473,13.864143977849563,12.059105629903092,13.172668634160413,21.636363636363637,0.8082901554404145,5.6217616580310885,0.32124352331606215,11.0,193.0,0.689119170984456,0.0,0.0,0.0,0.0,0.291,0.007,0.701,0.9967,0.0,0.1,0.1
+4,90.26459336823737,3.8325445026178038,6.5593019197207685,6.169486945898778,7.554174236665414,15.066666666666666,0.4869109947643979,3.6858638743455496,0.11518324607329843,15.0,191.0,0.43455497382198954,0.0,0.0,0.0,0.0,0.18,0.0,0.82,0.987,0.11063372717508056,0.06666666666666667,0.06666666666666667
+18,66.40233333333336,8.138000000000002,10.466666666666669,9.910716666666668,10.686352973137792,22.8,0.6517412935323383,4.616915422885572,0.23383084577114427,10.0,201.0,0.5621890547263682,14.9254,0.0,0.0,0.0,0.069,0.163,0.768,-0.9638,0.0,0.0,0.0
+18,62.50039473684211,6.90184210526316,10.115789473684211,19.066647368421055,10.125756701596842,12.857142857142858,0.84,5.973333333333334,0.30666666666666664,7.0,75.0,0.9866666666666667,0.0,0.0,0.0,0.0,0.0,0.095,0.905,-0.8316,0.0,0.0,0.0
+4,81.64249103942655,5.2946236559139805,6.801433691756273,7.376006810035843,8.167268648758528,15.444444444444445,0.5403225806451613,3.967741935483871,0.14516129032258066,9.0,124.0,0.5,0.0,0.0,0.0,0.0,0.309,0.008,0.683,0.9925,0.0,0.2222222222222222,0.0
+18,50.95726530612248,13.455591836734694,16.65795918367347,11.539637959183674,14.265292616868656,35.8,0.695364238410596,4.788079470198675,0.23841059602649006,5.0,151.0,0.6291390728476821,26.4901,0.0,0.0,0.0,0.207,0.132,0.661,0.8979,0.0,0.0,0.0
+4,85.21108467072497,4.030359712230219,5.715771997786387,7.688349252905368,6.67199483983844,12.0,0.5467625899280576,4.287769784172662,0.1510791366906475,13.0,139.0,0.5323741007194245,0.0,0.0,0.0,0.0,0.271,0.0,0.729,0.9918,0.0,0.0,0.0
+12,71.38435072815534,6.501152912621361,8.256796116504855,10.407138834951457,9.188382445141503,24.0,0.7647058823529411,4.7254901960784315,0.2549019607843137,5.0,102.0,0.5588235294117647,9.8039,0.0,0.0,0.0,0.172,0.102,0.726,0.7343,0.0,0.0,0.25
+12,59.96114825581398,8.9018507751938,11.101162790697675,9.21002093023256,11.20814326018867,31.8,0.7175572519083969,4.290076335877862,0.183206106870229,5.0,131.0,0.48091603053435117,15.2672,0.0,0.0,0.0,0.043,0.184,0.773,-0.9599,0.0,0.0,0.0
+4,92.36427083333335,2.4724768518518516,4.263888888888888,7.329962962962963,5.985473137389441,9.823529411764707,0.5407407407407407,3.7925925925925927,0.0962962962962963,17.0,135.0,0.5259259259259259,0.0,0.0,0.0,0.0,0.181,0.039,0.78,0.9607,0.17982456140350878,0.0,0.058823529411764705
+4,87.7971041666667,3.1333125000000024,4.038333333333333,6.156862708333334,7.03164865440522,10.133333333333333,0.640625,4.140625,0.1640625,15.0,128.0,0.46875,0.0,0.0,0.0,0.0,0.155,0.072,0.773,0.9357,0.0,0.13333333333333333,0.0
+10,65.27322222222224,6.915333333333333,7.2444444444444445,9.398311111111111,9.2995712137729,13.736842105263158,0.72,4.67,0.19,19.0,200.0,0.59,0.0,0.0,0.0,0.0,0.201,0.021,0.779,0.9921,0.4717138103161398,0.1111111111111111,0.3333333333333333
+10,73.89500000000002,6.501428571428573,7.714285714285714,8.292571428571428,9.04235418022936,17.571428571428573,0.6733668341708543,4.316582914572864,0.1708542713567839,14.0,199.0,0.542713567839196,0.0,0.0,0.0,0.0,0.086,0.014,0.9,0.9071,0.30473637176050045,0.15384615384615385,0.3076923076923077
+12,48.073444444444476,12.074666666666669,13.68888888888889,9.949422222222221,13.023866798666859,28.875,0.7323232323232324,4.848484848484849,0.23737373737373738,8.0,198.0,0.5707070707070707,0.0,0.0,0.0,0.0,0.187,0.039,0.775,0.9836,0.0,0.0,0.0
+10,65.8316448911223,7.372944723618094,9.527772194304859,9.690104556113901,10.504223727775692,17.46153846153846,0.6787564766839378,4.948186528497409,0.25906735751295334,13.0,193.0,0.5699481865284974,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.9912,0.18444995864350702,0.13333333333333333,0.2
